,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
103,MAMACITA,"Black Eyed Peas",829012,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
104,"La Santa","Bad Bunny",828205,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
105,"Kings & Queens","Ava Max",827438,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
106,"Moral of the Story",Ashe,821542,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
107,"OUT WEST (feat. Young Thug)",JACKBOYS,820695,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
108,"Watermelon Sugar","Harry Styles",820073,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
109,Astronomia,Vicetone,818482,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
110,Happier,Marshmello,816698,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
111,Ransom,"Lil Tecca",794456,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
112,"Demons (feat. Fivio Foreign & Sosa Geek)",Drake,791689,https://open.spotify.com/track/05aZ9sAU1YXndHv0FMi9iW
113,SAD!,XXXTENTACION,789880,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
114,Jangueo,"Alex Rose",788834,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
115,D4L,Future,788420,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK
116,Lalala,Y2K,788212,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
117,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",788065,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
118,"Jocelyn Flores",XXXTENTACION,786850,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
119,"Shape of You","Ed Sheeran",776756,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
120,"It's You","Ali Gatie",776364,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
121,"Bohemian Rhapsody - 2011 Mix",Queen,775821,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
122,"What A Man Gotta Do","Jonas Brothers",773215,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
123,"Without Me",Halsey,770461,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
124,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",765673,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
125,"Say You Won't Let Go","James Arthur",762835,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
126,China,"Anuel AA",761175,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
127,"Turks (feat. Travis Scott)",NAV,759843,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
128,Myron,"Lil Uzi Vert",752372,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
129,BOP,DaBaby,752324,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
130,"No Idea","Don Toliver",752181,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
131,"Time Flies",Drake,747803,https://open.spotify.com/track/5H4mXWKcicuLKDn4Jy0sK7
132,"Goodbyes (Feat. Young Thug)","Post Malone",747189,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
133,"BUTTERFLY EFFECT","Travis Scott",743197,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
134,Perfect,"Ed Sheeran",738022,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
135,"Lose You To Love Me","Selena Gomez",733563,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
136,"No Me Conoce - Remix","Jhay Cortez",733014,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
137,"After Hours","The Weeknd",732755,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
138,Robbery,"Juice WRLD",732352,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
139,"What If I Told You That I Love You","Ali Gatie",727764,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
140,Heartless,"The Weeknd",725136,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
141,Bruises,"Lewis Capaldi",717724,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
142,PTSD,"G Herbo",709195,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
143,"Make You Mine",PUBLIC,709095,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
144,"LA CANCIÓN","J Balvin",708804,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
